read_core_id	read_align_strand	rna_strand	read_length	primer_type	genome_align_start	genome_align_end	primer_score	polyA_type	f_primer_type	f_primer_start	f_align_end	r_primer_type	r_primer_start	r_align_start
171019dc-f0a4-4337-a10d-9d11bf42e8b5,chr3,6556199,6557938	-	-	1453	F-R	60	1379	1	A	F	1	59	R	1	1420
186065b1-3869-4080-b743-6fe32e59a8d9,chr3,6556199,6556797	-	-	697	F-N	59	656	5	A	F	1	58	N	-1	635
1923bc24-d748-414a-a5a7-f4de0fdf2cca,chr3,6556199,6557934	-	-	1472	F-R	59	1385	1	A	F	1	58	R	1	1434
19acf025-b4b6-4ebf-bc7b-7c45ee55e0fb,chr3,6556199,6557933	-	-	1470	F-R	62	1391	1	A	F	1	57	R	1	1437
19f909b3-d5fb-4298-9f23-6dfbc9c574d6,chr3,6556199,6557934	-	-	1482	F-R	60	1392	1	A	F	1	59	R	1	1449
1a9c692b-bd20-4c2e-a5f2-0ad82227856c,chr3,6556199,6557936	-	-	1982	UF-N	610	1926	5	A	UF	8	599	N	-1	1905
1bf45f02-725d-4f99-aaf4-f7c4833eae18,chr3,6556199,6557938	-	-	1867	UF-R	61	1788	2	A	UF	15	44	R	1	1833
1d1a3eb4-a2d0-47e5-a4b5-979dfeef40d7,chr3,6556199,6557356	-	-	1247	F-R	66	1139	1	A	F	1	62	R	1	1204
1d4d0a58-2c16-4571-9e4a-98371ab9953a,chr3,6556199,6556771	-	-	701	N-R	28	594	2	A	N	-1	49	R	1	665
1d71b84f-a822-4c2f-b71f-4b5d290032ee,chr3,6556199,6557938	-	-	1469	F-R	60	1388	1	A	F	1	58	R	1	1433
1e459435-90b9-40a6-bfc1-2fb99d7fe155,chr3,6556199,6556582	-	-	527	F-R	65	440	1	A	F	1	58	R	1	489
1f061152-9460-4bc5-b265-6028d81a693a,chr3,6556199,6557938	-	-	1776	F-R	60	1691	1	A	F	1	59	R	1	1738
1f5e277e-5602-4bf5-9b8b-ac6f921ae630,chr3,6556199,6557883	-	-	1418	UF-N	57	1327	5	A	UF	2	56	N	-1	1306
20a4f59d-9e2d-4466-a506-e263e527d7bc,chr3,6556199,6557938	-	-	1474	F-R	61	1398	1	A	F	1	59	R	1	1444
21ea1cc3-4e3b-419c-8812-20d4b4fcdcb1,chr3,6556199,6556452	-	-	383	UF-R	69	317	2	A	UF	11	48	R	1	346
22882bbf-3cf0-4ef8-9543-3065c2cc9239,chr3,6556199,6557883	-	-	1431	F-R	60	1343	1	A	F	1	59	R	1	1396
231981e9-bfc9-43c1-884f-a056f3d98109,chr3,6556199,6556777	-	-	701	F-R	62	635	1	A	F	1	61	R	1	668
269dcf3c-2cbe-455d-ac3e-b2f3b822c26b,chr3,6556199,6557921	-	-	1459	F-R	78	1369	1	A	F	1	58	R	1	1428
28b2949d-3d7c-448a-96ac-9d26b8b497ce,chr3,6556199,6557935	-	-	1503	F-R	61	1409	1	A	F	1	58	R	1	1463
2a53848f-b181-4893-aa19-cd1aaa9fc116,chr3,6556199,6557938	-	-	1390	UF-R	61	1282	2	A	UF	6	54	R	1	1357
2c359d4a-35de-42e3-986e-e535a3f7b1bc,chr3,6556199,6557879	-	-	1446	UF-R	62	1326	2	A	UF	3	58	R	1	1410
2ff34ed2-7b2b-4664-b632-71615a022bde,chr3,6556199,6556630	-	-	555	F-R	61	476	1	A	F	1	60	R	1	517
32f3a2b6-6501-4e9e-af7f-db46b7bcada6,chr3,6556199,6557938	-	-	1459	N-R	50	1372	2	A	N	-1	71	R	1	1423
373be6e0-886f-48a8-a29f-e4f4fac68f90,chr3,6556199,6557938	-	-	1521	UF-R	61	1390	2	A	UF	6	53	R	1	1484
3e568a50-e3c8-4061-a3b6-f55ea3497c9c,chr3,6556199,6557938	-	-	1931	F-R	67	1386	1	A	F	1	66	R	1	1427
3e7288ed-e508-481c-b629-030d9b17ea28,chr3,6556199,6556502	-	-	467	F-R	59	362	1	A	F	1	58	R	1	426
428e18ef-b5c4-4fec-8e90-2c7b932e315b,chr3,6556199,6557934	-	-	1830	UF-R	56	1760	2	A	UF	15	38	R	1	1795
434710d3-f96d-4e53-8604-4e353bf5e00f,chr3,6556199,6557071	-	-	848	F-R	57	795	1	A	F	1	57	R	2	817
44b9b6c2-ba0f-49d7-abfe-446540b63714,chr3,6556199,6556923	-	-	857	F-R	59	778	1	A	F	1	58	R	1	824
4835a401-144a-40cc-a08c-1a32250b5056,chr3,6556199,6557938	-	-	1457	F-R	54	1377	1	A	F	1	53	R	1	1424
4913dd19-ea4e-419d-b99f-23e25bcaf381,chr3,6556199,6557927	-	-	1492	UF-R	60	1379	2	A	UF	7	55	R	1	1459
4b2caee1-3be7-4e0b-914e-3d51714f5d16,chr3,6556199,6557885	-	-	1355	F-R	59	1224	1	A	F	1	58	R	1	1318
4be0a61b-9616-49ef-9f6a-9872453890e7,chr3,6556199,6557938	-	-	1371	UF-R	58	1284	2	A	UF	7	52	R	1	1333
4cc6a809-1662-41bc-8e8d-f8968d64fef4,chr3,6556199,6557254	-	-	1092	UF-R	64	1016	2	A	UF	15	45	R	1	1064
4cf01ee2-9208-45fa-84b1-4c5c4da51092,chr3,6556199,6556874	-	-	826	F-R	61	742	1	A	F	1	58	R	1	793
4cfaf484-e84f-4957-9ccc-de6d82b9e60d,chr3,6556199,6557938	-	-	1388	F-R	63	1286	1	A	F	1	62	R	1	1354
4f03fb72-66fc-46b7-95e1-7aef40cc246b,chr3,6556199,6557764	-	-	1195	UF-R	64	1101	2	A	UF	4	55	R	1	1162
5048386a-f8b8-4034-84f7-0ba646cd5ec5,chr3,6556199,6557938	-	-	3102	F-R	59	1316	1	A	F	1	58	R	1	1398
50cdc32e-445d-4044-baa7-c0904e41c621,chr3,6556199,6557883	-	-	1814	F-R	59	1708	1	A	F	1	56	R	1	1781
51aead10-4a4f-42ec-ac0c-f2459a8e8421,chr3,6556199,6557872	-	-	1266	UF-R	63	1206	2	A	UF	12	43	R	1	1233
51ff8d36-ceac-4fc4-9cc4-1ed0a11b7df3,chr3,6556199,6557935	-	-	2417	R-R	1104	2319	5	A	R	1	41	R	1	2383
52b890dd-139d-4f6f-8550-d3bf0af3493c,chr3,6556199,6557435	-	-	866	N-R	64	778	2	A	N	-1	85	R	1	833
52fdbaa2-0b3b-4995-93dd-d40f8fef074f,chr3,6556199,6556674	-	-	608	UF-R	63	529	2	A	UF	2	54	R	7	581
54e41638-bf21-46b8-9d8a-627a06414d8c,chr3,6556199,6556963	-	-	907	F-R	60	819	1	A	F	1	59	R	1	875
564313f0-611e-48fb-b510-9743d0b22b5a,chr3,6556199,6557938	-	-	1847	F-R	58	1768	1	A	F	1	56	R	1	1818
5825f52e-ebff-405d-b78d-fb644fe469f8,chr3,6556199,6557938	-	-	1382	F-R	59	1269	1	A	F	1	58	R	1	1346
591c6f41-35b8-46c6-9043-ee4a3bd4cbf1,chr3,6556199,6557937	-	-	1342	N-R	59	1266	2	A	N	-1	80	R	1	1305
5aa4f4fb-b7a9-47bc-ae31-4e3756888914,chr3,6556199,6557938	-	-	1506	F-R	59	1379	1	A	F	1	58	R	1	1469
5d949687-a9a6-4201-b8cd-c9973e486e9c,chr3,6556199,6556859	-	-	716	F-R	65	603	1	A	F	1	64	R	1	679
5dce3210-7ac4-4c19-9417-e93bdbe2fc85,chr3,6556199,6557434	-	-	860	F-R	58	774	1	A	F	1	57	R	1	824
5e9cc465-8024-496c-a643-a74e0baf0c1c,chr3,6556199,6557930	-	-	2360	UF-R	61	1194	2	A	UF	11	48	R	3	1273
5f0fd874-c830-4e6c-b160-6b4e0b358f1b,chr3,6556199,6557883	-	-	1313	F-R	60	1230	1	A	F	1	56	R	1	1280
5f8e442c-248b-4568-ab1f-b777e558c0b5,chr3,6556199,6557938	-	-	1480	F-R	62	1389	1	A	F	1	60	R	1	1442
5f9b77c4-2dd3-42e3-8aa7-400da30ec427,chr3,6556199,6557928	-	-	1350	UF-R	73	1260	2	A	UF	12	44	R	1	1314
5fb57896-b902-4ce2-8496-209918c99847,chr3,6556199,6557937	-	-	1479	UF-R	59	1382	2	A	UF	2	55	R	1	1445
61c9977b-ea87-4121-a95b-bf0c8e346c8c,chr3,6556199,6557938	-	-	1358	F-R	60	1274	1	A	F	1	58	R	1	1323
658cf577-4e2c-429a-b9a2-e7442ed24957,chr3,6556199,6557938	-	-	1364	F-R	55	1274	1	A	F	1	54	R	1	1334
6658e18b-127f-451f-b681-8bebd8b552e2,chr3,6556199,6557063	-	-	853	UF-R	59	792	2	A	UF	14	44	R	1	817
6764c1af-7702-49dc-838d-6e062e7a3f5a,chr3,6556199,6557927	-	-	1365	F-R	72	1281	1	A	F	1	57	R	1	1330
6a532440-0e09-47ec-922a-48f686717cc5,chr3,6556199,6557929	-	-	1340	F-R	53	1255	1	A	F	1	51	R	1	1308
6a7f266e-2f19-4d21-b3a2-94a33e152227,chr3,6556199,6557254	-	-	1186	N-R	60	1109	2	A	N	-1	81	R	1	1153
6b4650f8-11d5-4293-901e-65e393627898,chr3,6556199,6557938	-	-	1470	F-R	60	1383	1	A	F	1	58	R	1	1432
6c0738a7-50a4-4326-8d4a-8324a56fd6c7,chr3,6556199,6557887	-	-	1425	F-R	60	1332	1	A	F	1	59	R	1	1392
6c1e49b7-d06a-4565-9ea3-cc6dac56d53c,chr3,6556199,6557938	-	-	1471	F-R	59	1383	1	A	F	1	57	R	1	1433
6ee008fe-eb50-4643-ab58-c62e729d70f0,chr3,6556199,6557937	-	-	1381	UF-R	57	1278	2	A	UF	12	47	R	1	1345
6f4d32bb-c934-413e-8c50-7e9346938e27,chr3,6556199,6557933	-	-	1370	UF-R	63	1284	2	A	UF	6	54	R	1	1334
715c29ef-f5c6-4a49-a336-23ca5f9b18ce,chr3,6556199,6556873	-	-	792	F-R	55	721	1	A	F	1	51	R	1	756
71a8e32e-8598-4977-84c8-c0c2816d8daf,chr3,6556199,6557938	-	-	1471	F-R	61	1392	1	A	F	1	59	R	1	1441
74ffe64d-db29-4719-b273-ea8e1d804765,chr3,6556199,6557938	-	-	1489	F-R	64	1387	1	A	F	1	62	R	1	1455
78888532-61b2-4310-a276-e97d934687bf,chr3,6556199,6557885	-	-	1334	F-R	57	1201	1	A	F	1	56	R	1	1299
7a7024ad-354b-4c4c-9bc9-df7061b409ca,chr3,6556199,6556923	-	-	898	F-R	55	782	1	A	F	1	56	R	1	863
7c465bb2-2232-4927-8bd2-463ec2b7e831,chr3,6556199,6557927	-	-	1475	UF-R	68	1373	2	A	UF	7	51	R	1	1441
7d027137-4921-4e86-86c4-9e5570f47935,chr3,6556199,6557937	-	-	1482	UF-R	58	1387	2	A	UF	2	55	R	1	1447
83aa2e5a-9036-4221-a1cc-3ffadb661c00,chr3,6556199,6557883	-	-	1409	F-N	56	1327	5	A	F	1	55	N	-1	1306
846db2b2-1e22-4b52-9c99-9ed304a0c358,chr3,6556199,6557933	-	-	1356	UF-R	70	1260	2	A	UF	15	48	R	3	1324
84f827dd-8b0b-4a66-b1d3-de47e0d9f5fa,chr3,6556199,6556502	-	-	470	F-R	61	365	1	A	F	1	60	R	1	433
8670e6a2-76f4-4328-b869-afa1b89b9469,chr3,6556199,6556923	-	-	1389	F-R	57	675	1	A	F	1	56	R	1	720
86736c01-2508-404e-b6e9-05a3c0eacc0d,chr3,6556199,6556767	-	-	695	F-R	64	617	1	A	F	1	57	R	1	661
877b3a85-6ed8-471c-be62-4fd6c2303528,chr3,6556199,6557935	-	-	1398	UF-R	65	1286	2	A	UF	5	58	R	1	1363
87ead1f0-f2af-49cd-8844-31e75455eba4,chr3,6556199,6557886	-	-	1811	F-R	59	1737	1	A	F	1	58	R	1	1778
87fe599b-6d9b-4ed0-8e2c-1cb159889b15,chr3,6556199,6556511	-	-	468	F-R	61	373	1	A	F	1	60	R	4	432
89df297a-9666-4643-9da6-f477790b135c,chr3,6556199,6556797	-	-	710	F-R	63	652	1	A	F	1	62	R	1	676
8a1d49d5-1a6a-4342-836a-0aeaa89bc4cc,chr3,6556199,6557883	-	-	1837	UF-R	60	1730	2	A	UF	2	58	R	1	1800
8ab4b964-c85d-429e-a0d8-abf20c6f7631,chr3,6556199,6557935	-	-	1428	F-N	61	1385	5	A	F	1	57	N	-1	1364
8ad84f5c-26ee-4e1f-99d1-9d18a541c57f,chr3,6556199,6557938	-	-	1496	F-R	60	1395	1	A	F	1	58	R	1	1460
8b13acb7-089b-493b-96fe-7e8019a7b9ba,chr3,6556199,6557938	-	-	1483	UF-R	58	1401	2	A	UF	6	52	R	1	1446
8bfb80f2-e620-4c74-99a4-50c981a87d0a,chr3,6556199,6557931	-	-	1481	UF-R	62	1381	2	A	UF	11	48	R	1	1442
8c90d01b-7724-4129-a7a4-612600b25c8d,chr3,6556199,6557885	-	-	1358	F-R	59	1233	1	A	F	1	58	R	1	1323
8cb0b8fa-1a45-45ca-9754-b0c487f31861,chr3,6556199,6557938	-	-	1469	F-R	56	1383	1	A	F	1	54	R	4	1437
8cb8cbd5-0d0e-493b-9bee-752eb6e3ef72,chr3,6556199,6556830	-	-	656	N-R	55	563	2	A	N	-1	76	R	1	627
8d84aae6-3371-4b97-9dd3-3970aa630d10,chr3,6556199,6556737	-	-	1693	F-R	1046	1579	1	A	F	1	1047	R	1	1656
8dbcf7f3-9f94-4708-b877-13ee37efef9d,chr3,6556199,6557934	-	-	1365	N-R	62	1303	2	A	N	-1	83	R	4	1338
8e3a47ab-9ee2-4368-9118-6baf3688d4d2,chr3,6556199,6556372	-	-	314	F-R	58	228	1	A	F	1	57	R	6	283
8ff90902-023f-4373-bad1-7c9b07757a65,chr3,6556199,6557938	-	-	1865	F-R	60	1784	1	A	F	1	58	R	1	1830
9017355f-e546-492f-9d5d-602e90624e27,chr3,6556199,6556963	-	-	844	F-R	52	700	1	A	F	1	51	R	1	806
91183a43-5254-44e7-8dc8-f706b788940f,chr3,6556199,6557938	-	-	1352	F-R	60	1271	1	A	F	1	59	R	1	1317
931113b7-14b7-4f80-8518-04eff678d679,chr3,6556199,6556963	-	-	1415	UF-R	57	814	2	A	UF	2	56	R	1	869
933114ae-e53a-4143-8621-364f170b2a93,chr3,6556199,6557884	-	-	1697	UF-R	61	1613	2	A	UF	10	50	R	1	1662
93cf69b2-42b4-466e-a68b-8ca9eb960fd1,chr3,6556199,6556789	-	-	710	UF-R	68	649	2	A	UF	6	54	R	1	677
95e3fbd7-c949-43ff-8c13-12a1d28fe2e8,chr3,6556199,6557886	-	-	1328	F-R	62	1225	1	A	F	1	61	R	1	1295
988e4849-1257-49dc-85a5-8f69a3b5d0a6,chr3,6556199,6556869	-	-	802	F-R	59	716	1	A	F	1	58	R	4	768
98f11ab4-dc5d-4ec1-a2f7-7ed726bbbef0,chr3,6556199,6556289	-	-	1005	UF-R	802	892	2	A	UF	2	495	R	1	970
990a92c5-b03e-47c1-adbf-79f300f63efc,chr3,6556199,6557938	-	-	1488	F-R	58	1392	1	A	F	1	57	R	1	1451
995a75fe-6854-469f-8158-b0809415f1c7,chr3,6556199,6556786	-	-	725	UF-R	62	649	2	A	UF	8	50	R	1	689
9d872905-df19-44ed-807a-a1e603fc3c55,chr3,6556199,6557938	-	-	1462	F-R	60	1378	1	A	F	1	58	R	1	1426
9eb8b358-8c10-4a79-b94a-9372bfd64603,chr3,6556199,6556783	-	-	662	UF-R	57	528	2	A	UF	11	48	R	1	624
a09e6e0d-9ab3-40c2-bbc6-124e4132d62a,chr3,6556199,6556630	-	-	559	F-R	55	474	1	A	F	1	54	R	1	526
a164e685-6686-430e-a6a1-44cdb3fa1a9e,chr3,6556199,6556327	-	-	262	UF-R	58	182	2	A	UF	4	53	R	1	230
a271a8e5-ccec-4051-9abb-e3f851edf7dd,chr3,6556199,6556791	-	-	635	F-R	59	533	1	A	F	1	58	R	1	602
a28045dd-62cc-435a-a228-f79d80f9d26d,chr3,6556199,6557938	-	-	1464	UF-R	57	1389	2	A	UF	11	48	R	1	1431
a4fc1427-804d-4545-a509-87c781d89eed,chr3,6556199,6557938	-	-	1437	F-R	57	1356	1	A	F	1	55	R	1	1404
a6e70838-dc0d-4696-9866-36198c2e1eab,chr3,6556199,6556512	-	-	458	UF-R	53	360	2	A	UF	3	57	R	1	425
a7029bec-d8e8-4629-9fb7-f8c7c7c726bc,chr3,6556199,6557938	-	-	1433	F-R	52	1359	1	A	F	1	51	R	1	1398
a85ea176-2364-4a37-916f-92a9cea160a2,chr3,6556199,6557938	-	-	1387	F-R	59	1280	1	A	F	1	58	R	1	1351
a9e08144-848f-40a1-88d2-ad8ab0ee4dd7,chr3,6556199,6557938	-	-	1474	F-R	60	1382	1	A	F	1	58	R	1	1438
a9edfd55-e513-4f06-811e-eca4213d82ce,chr3,6556199,6557935	-	-	1346	UF-R	64	1271	2	A	UF	8	50	R	4	1314
aa20e04b-b1a7-4f87-9f0f-2c8a79a579ca,chr3,6556199,6557935	-	-	1455	N-R	66	1376	2	A	N	-1	87	R	1	1421
ab56abd1-f115-4ce0-b5b3-0f6efad6a398,chr3,6556199,6557938	-	-	1504	F-N	60	1398	5	A	F	1	59	N	-1	1377
ab671df4-8ff6-4d6c-832e-55ea27f202b7,chr3,6556199,6556563	-	-	497	UF-N	64	428	5	A	UF	8	53	N	-1	407
ab67ac95-a73e-4105-811b-70d7bac2f6de,chr3,6556199,6557938	-	-	2939	F-R	60	1394	1	A	F	1	59	R	1	1467
ac4adfca-a610-4a0f-a904-c0c94833067f,chr3,6556199,6557885	-	-	1375	UF-R	63	1233	2	A	UF	15	43	R	1	1340
ae8438f2-c1bb-496a-b91f-aaac85449a0f,chr3,6556199,6557938	-	-	1356	F-R	59	1270	1	A	F	1	58	R	1	1320
aebd8753-f92d-4175-8d45-1bfe8f7c6e16,chr3,6556199,6556502	-	-	432	F-R	59	359	1	A	F	1	58	R	1	399
afc126fc-689e-45c9-8bb1-483177f01359,chr3,6556199,6557886	-	-	3378	F-R	1607	3290	1	A	F	1	1606	R	1	3346
b0c1f822-efbb-48a8-90be-99f841a37eaf,chr3,6556199,6557923	-	-	1382	UF-R	65	1280	2	A	UF	2	56	R	1	1347
b1a27e3c-49e3-4e92-a75e-ddba8e949ae5,chr3,6556199,6557938	-	-	1498	F-R	60	1415	1	A	F	1	58	R	1	1462
b3473258-44cd-4c4e-86cf-1abbf1716732,chr3,6556199,6557934	-	-	1859	F-R	59	1775	1	A	F	1	58	R	1	1823
b353f077-bf6c-432b-a975-d29f2aabc074,chr3,6556199,6557938	-	-	5002	F-R	63	1387	1	A	F	1	61	R	1	1433
b5264c09-d81d-44fe-9d1c-2f21b176bb1b,chr3,6556199,6557938	-	-	1369	F-R	58	1269	1	A	F	1	57	R	1	1335
b5cfd770-4984-46ff-b306-4868e554a86b,chr3,6556199,6557938	-	-	1451	F-R	59	1389	1	A	F	1	57	R	1	1415
b69cf769-9bce-4b70-b07f-0dcbc511517f,chr3,6556199,6556331	-	-	248	F-N	60	190	5	A	F	1	59	N	0	170
b7469998-c25e-4253-bd4e-3dd93d3c6f7d,chr3,6556199,6556638	-	-	599	F-R	65	496	1	A	F	1	59	R	1	564
b748e8a7-aff0-47e8-8c44-9be56692a70d,chr3,6556199,6557934	-	-	1860	UF-R	55	1774	2	A	UF	8	51	R	1	1824
bacd33fe-7585-4043-87a2-b7dd9eda5473,chr3,6556199,6557928	-	-	1450	UF-R	74	1321	2	A	UF	15	53	R	1	1414
bda78536-2a0d-4323-816c-65a7dc2e5409,chr3,6556199,6557938	-	-	5009	F-R	60	1396	1	A	F	1	58	R	1	1458
bf57c273-4f2c-493c-8d22-bfd567023779,chr3,6556199,6557935	-	-	1460	F-N	64	1386	5	A	F	1	59	N	-1	1365
bf5edeb3-ba78-4787-8902-7b53a8ddaa47,chr3,6556199,6556963	-	-	873	F-R	59	813	1	A	F	1	58	R	1	841
bfd6089b-ddcb-4295-97e3-036f914f011f,chr3,6556199,6557041	-	-	894	UF-R	61	789	2	A	UF	15	44	R	1	857
c2a98321-0199-4bcc-a440-e0d0d46037e7,chr3,6556199,6556923	-	-	876	UF-R	58	778	2	A	UF	4	54	R	1	841
c33e9638-03ac-4b16-af18-c0a187729bc4,chr3,6556199,6557938	-	-	1384	F-R	60	1276	1	A	F	1	59	R	1	1351
c487a3d4-55c4-46e5-bdbb-dbe852707fa7,chr3,6556199,6557927	-	-	1477	F-R	61	1370	1	A	F	1	58	R	1	1440
c54b7997-4588-44af-83ff-830ea5bab2d2,chr3,6556199,6557935	-	-	1442	F-R	61	1365	1	A	F	1	58	R	1	1408
c6a5a3e1-a9a6-4f3a-a88b-3b706158a68e,chr3,6556199,6557926	-	-	1451	UF-N	68	1364	5	A	UF	3	56	N	-1	1343
c8717a79-b732-4877-8e51-58012d82a8b5,chr3,6556199,6556923	-	-	873	UF-R	58	787	2	A	UF	3	55	R	1	836
c9187125-5025-49cf-8cf7-98116223be81,chr3,6556199,6556963	-	-	811	F-R	60	716	1	A	F	1	59	R	1	773
ca425823-3c82-405a-92b0-f8290a09b06e,chr3,6556199,6556868	-	-	692	UF-R	59	609	2	A	UF	2	55	R	1	654
cbb6461f-4d97-4a4b-8ff9-ab46044d185f,chr3,6556199,6556434	-	-	367	UF-R	58	289	2	A	UF	4	55	R	1	333
cbbd2cfd-6f77-4228-94f5-048a8bd1dfc1,chr3,6556199,6557904	-	-	1421	F-R	64	1348	1	A	F	1	58	R	1	1385
cc144bc1-08b8-4f49-b0a2-0a832c90ffe2,chr3,6556199,6556912	-	-	891	F-R	63	773	1	A	F	1	62	R	1	854
cc5962ea-e56e-4cd5-9fa3-3de4578e5e20,chr3,6556199,6557938	-	-	1354	F-R	62	1285	1	A	F	1	60	R	1	1321
cdadbb91-cf70-472e-bd82-91094f9783c9,chr3,6556199,6557938	-	-	3347	UF-R	1949	3257	2	A	UF	15	1936	R	1	3314
cdc1627a-a723-4880-8cfc-5ce52e9504c6,chr3,6556199,6557938	-	-	1478	UF-N	61	1395	5	A	UF	15	44	N	-1	1374
d1209b2a-bf49-414c-92ce-09605327400e,chr3,6556199,6557934	-	-	1839	F-R	58	1767	1	A	F	1	57	R	1	1809
d1561264-01aa-4769-8a11-ba890d3f11a2,chr3,6556199,6557938	-	-	1453	F-R	61	1382	1	A	F	1	59	R	1	1416
d2367bd0-58b6-437c-b9a2-fbc5db657fb1,chr3,6556199,6557938	-	-	1479	F-R	58	1383	1	A	F	1	56	R	1	1445
d49dade9-ac9c-4d03-b74a-fe9c0dafe8ce,chr3,6556199,6557887	-	-	1444	F-R	58	1327	1	A	F	1	57	R	1	1407
d66b738e-3ff8-4b66-9bfc-75130f77a858,chr3,6556199,6556588	-	-	528	F-R	61	442	1	A	F	1	60	R	1	492
d8c8bcf1-f7d2-445a-a126-7a9f5183d393,chr3,6556199,6557933	-	-	1468	UF-R	67	1385	2	A	UF	12	47	R	1	1433
d98f1dcf-db2d-401c-917b-0d0d86e45889,chr3,6556199,6557769	-	-	1218	N-R	63	1122	2	A	N	-1	84	R	1	1183
dadc602e-22c7-46f1-8e9a-c3d5b1f91029,chr3,6556199,6557883	-	-	1410	F-R	61	1321	1	A	F	1	59	R	1	1376
dd9bf990-0f78-4c69-8f54-66366fd94252,chr3,6556199,6557937	-	-	1477	UF-R	62	1406	2	A	UF	2	58	R	1	1443
de1f1515-b5b4-427c-80f6-667602ea70ed,chr3,6556199,6556785	-	-	732	UF-R	59	646	2	A	UF	6	52	R	5	701
deabc18a-25a2-4995-9c60-ec01a559c673,chr3,6556199,6556664	-	-	588	F-R	57	512	1	A	F	1	56	R	1	553
e3f77a85-ced5-484e-ac37-a7b780f41f12,chr3,6556199,6557182	-	-	1150	F-R	61	1035	1	A	F	1	60	R	1	1109
e4a1d0f1-07e7-4a92-93db-a5915208b282,chr3,6556199,6557938	-	-	1364	UF-R	58	1284	2	A	UF	8	50	R	1	1329
e4ece603-00b8-47eb-a44f-0aff0008207f,chr3,6556199,6556620	-	-	564	UF-R	68	478	2	A	UF	11	48	R	1	529
e5ffd36f-ed6a-40d3-ba1b-36a3b821af85,chr3,6556199,6557938	-	-	1376	F-R	59	1263	1	A	F	1	57	R	1	1343
ea48791e-1590-4cec-82a7-21374e6c3ba0,chr3,6556199,6556465	-	-	427	UF-R	63	326	2	A	UF	2	60	R	1	394
eb48c68e-d3b7-491e-bfa7-5a9d6e0dc442,chr3,6556199,6556502	-	-	432	UF-R	57	362	2	A	UF	15	43	R	1	395
ee7cc041-49ea-4b94-94d5-48b420364b52,chr3,6556199,6557042	-	-	892	F-R	59	787	1	A	F	1	58	R	1	857
ee9e1db3-dee9-43ee-9dcf-4cebabdde726,chr3,6556199,6557932	-	-	1396	F-R	70	1281	1	A	F	1	62	R	1	1362
eea2b718-afc4-4841-bfa1-1666fe5f54fd,chr3,6556199,6557938	-	-	1487	UF-R	62	1402	2	A	UF	13	46	R	1	1449
eeb1bb8b-3e42-416a-8ede-5ef2542d86ce,chr3,6556199,6557840	-	-	1279	F-N	61	1190	5	A	F	1	60	N	-1	1169
f0085442-0e76-4637-8e91-1764910c3a9c,chr3,6556199,6556621	-	-	587	F-R	69	489	1	A	F	1	58	R	1	555
f04d856d-585f-4662-a6e7-46ed3e9d99ac,chr3,6556199,6557934	-	-	1436	UF-N	68	1389	5	A	UF	15	40	N	-1	1368
f0ca94b3-32b2-4a96-a067-1950c23ed0a3,chr3,6556199,6557938	-	-	1372	F-R	60	1285	1	A	F	1	58	R	1	1336
f388c526-51d0-4728-b04e-35f5b75e536d,chr3,6556199,6557434	-	-	883	F-R	59	787	1	A	F	1	58	R	1	846
f4462e59-b652-4784-8085-72a4d0cc3714,chr3,6556199,6556854	-	-	675	UF-R	65	595	2	A	UF	7	52	R	1	638
f62bcd45-7613-40f1-80e5-0877a13e563e,chr3,6556199,6557938	-	-	1885	F-R	63	1793	1	A	F	1	61	R	1	1852
f66013b9-2558-44ce-8ea7-7acc1c89605a,chr3,6556199,6557938	-	-	1476	UF-R	61	1394	2	A	UF	8	53	R	1	1438
f78e5b60-9b47-43e1-9dec-a17dc704d323,chr3,6556199,6557883	-	-	4872	F-R	3616	4777	1	A	F	1	3612	R	1	4832
fa09290d-8e9d-4218-9879-a7ffde2c379c,chr3,6556199,6557134	-	-	994	F-R	53	886	1	A	F	1	56	R	1	961
fab24d64-e045-4615-8949-c0fc23c0ad59,chr3,6556199,6556645	-	-	601	F-R	59	503	1	A	F	1	58	R	1	569
fd1d793a-513a-48a1-975c-7373972e87df,chr3,6556199,6557178	-	-	1090	N-R	60	993	2	A	N	-1	81	R	1	1056
09dcedb2-52d2-49b4-8782-50bcd440fcfc,chr3,6556200,6556551	+	-	648	N-UF	78	394	5	T	N	-1	99	UF	2	611
0c81a3b5-fd16-4223-a6d3-38f916962497,chr3,6556200,6557938	+	-	1867	R-F	107	1819	1	T	R	2	49	F	1	1821
20b12344-34b4-455f-b685-2f45dad6f803,chr3,6556200,6556672	+	-	631	R-F	125	588	1	T	R	1	50	F	1	587
2287fe93-66e5-49c6-ba11-5e7f5c5ef897,chr3,6556200,6557134	+	-	1047	N-F	88	1007	5	T	N	-1	109	F	1	1004
2aa5bc3b-986c-45dd-a82b-ba7ddfd60dcb,chr3,6556200,6556492	+	-	438	N-F	109	392	5	T	N	-1	130	F	1	394
402767df-8ca4-4e81-861e-8ab67627a678,chr3,6556200,6557939	+	-	1349	R-F	100	1309	1	T	R	7	43	F	1	1310
5ac8056c-ecd1-442e-a81d-786b804c1d1c,chr3,6556200,6556723	+	-	567	R-F	114	526	1	T	R	3	48	F	1	526
676e3d21-643b-4ce6-a9be-7ac063da3f24,chr3,6556200,6557884	+	-	1450	R-F	118	1402	1	T	R	1	49	F	1	1404
